DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DG,WS,RV_W,area_id
2020,AN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
2021,C,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
2022,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
2023,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
2024,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1922,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1923,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1924,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1925,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1926,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1927,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1928,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1929,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1930,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1931,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1932,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1933,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1934,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1935,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1936,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1937,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1938,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1939,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1940,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1941,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1942,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1943,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1944,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1945,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1946,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1947,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1948,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
